Column,Unique values count,Sample values
normalized-losses,52,"?, 164, 158, 192, 188, 121, 98, 81"
make,22,"alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar"
fuel-type,2,"gas, diesel"
aspiration,2,"std, turbo"
num-of-doors,3,"two, four, ?"
body-style,5,"convertible, hatchback, sedan, wagon, hardtop"
drive-wheels,3,"rwd, fwd, 4wd"
engine-location,2,"front, rear"
engine-type,7,"dohc, ohcv, ohc, l, rotor, ohcf, dohcv"
num-of-cylinders,7,"four, six, five, three, twelve, two, eight"
fuel-system,8,"mpfi, 2bbl, mfi, 1bbl, spfi, 4bbl, idi, spdi"
bore,39,"3.47, 2.68, 3.19, 3.13, 3.50, 3.31, 3.62, 2.91"
stroke,37,"2.68, 3.47, 3.40, 2.80, 3.19, 3.39, 3.03, 3.11"
horsepower,60,"111, 154, 102, 115, 110, 140, 160, 101"
peak-rpm,24,"5000, 5500, 5800, 4250, 5400, 5100, 4800, 6000"
price,187,"13495, 16500, 13950, 17450, 15250, 17710, 18920, 23875"
